PCA1,PCA2,cluster,Segmen_Pasar
-3.9507276532523634,-3.797822012050372,0,Ekonomis
-1.6145120722950619,1.4447259560750583,2,Standar
-1.4475624127249693,1.6756929149300064,2,Standar
-4.110983602249937,-3.979737968143724,0,Ekonomis
-1.2148566181133795,2.1113252359981276,2,Standar
-0.9206143334975131,2.3036106990226823,2,Standar
-1.449075970019525,1.5312029681015094,2,Standar
-4.280456077971783,-3.9704335223360094,0,Ekonomis
-3.702307223814215,-2.647112311060396,0,Ekonomis
-1.1030148585215427,1.9248246509500788,2,Standar
-0.8096497011226024,2.243170202304113,2,Standar
-3.369029907615338,-2.442046033564653,0,Ekonomis
-1.2363097035684065,1.740444927889333,2,Standar
-3.41995567331929,-2.5672162751422025,0,Ekonomis
-4.486017461995681,-4.014422031877622,0,Ekonomis
-2.9060722428524715,-0.48223439468115137,0,Ekonomis
5.227113427773219,-0.4192707436246705,1,Premium
-3.5632218191648968,-2.661067673617286,0,Ekonomis
-3.5852027507610145,-2.5359182615733227,0,Ekonomis
-2.153863732571343,0.18766384410090928,0,Ekonomis
-3.0388311764524696,-2.172169681493562,0,Ekonomis
-1.170092860608877,1.9512521394027802,2,Standar
-1.307821290558879,1.649486833264346,2,Standar
-1.4378686383635084,1.3643362443224205,2,Standar
4.899176129857894,-0.8976765692630555,1,Premium
-1.157296203760204,1.8956835500255036,2,Standar
-1.3814322252394848,1.6659568017246653,2,Standar
-1.2288079652337467,1.8047252328976993,2,Standar
-3.218521894908285,-2.181058400252955,0,Ekonomis
-2.1863638092944666,0.24659446721124986,0,Ekonomis
-1.1908073713554048,1.7517566811619805,2,Standar
-0.7171452167704218,2.2198069590793548,2,Standar
-1.324687057054359,1.8673803737195762,2,Standar
-1.297605163086083,1.9216320186281337,2,Standar
-2.1158310652617445,0.23106087623006286,0,Ekonomis
-2.1158310652617445,0.23106087623006286,0,Ekonomis
-2.1158310652617445,0.23106087623006286,0,Ekonomis
-2.1158310652617445,0.23106087623006286,0,Ekonomis
-4.2031808877857895,-3.965809401930278,0,Ekonomis
-1.022722008803183,2.089051838649881,2,Standar
4.878650179095628,-0.8658053745087493,1,Premium
4.878650179095628,-0.8658053745087493,1,Premium
4.878650179095628,-0.8658053745087493,1,Premium
-2.2470330416239723,0.0833391870223543,0,Ekonomis
-0.9689014060328615,2.097609002946089,2,Standar
-4.182044901930243,-3.885306174697598,0,Ekonomis
-4.370039684196232,-4.187851764760216,0,Ekonomis
-4.370039684196232,-4.187851764760216,0,Ekonomis
-1.7334817740905275,0.6141159105607185,0,Ekonomis
-3.822487306438066,-3.7767860715399064,0,Ekonomis
-3.9712343586491543,-3.7236616562757274,0,Ekonomis
4.898451317297756,-0.9109331996880436,1,Premium
-1.253718297131353,1.88761931088773,2,Standar
-1.7085672637431606,0.6137902729483439,0,Ekonomis
-1.3707322163348272,1.7853494629900954,2,Standar
-1.4674180342915741,1.5998889006580301,2,Standar
-1.6145120722950619,1.4447259560750583,2,Standar
-1.587636992441054,0.766779949424683,0,Ekonomis
-1.37679460320864,1.7673671652071767,2,Standar
-1.2090905924085082,1.1030145610644684,0,Ekonomis
-1.1993463404097455,1.9256846774283716,2,Standar
-1.1573868584486986,1.8867592293132245,2,Standar
-1.1573868584486986,1.8867592293132245,2,Standar
-1.1573868584486986,1.8867592293132245,2,Standar
-1.1573868584486986,1.8867592293132245,2,Standar
-1.1573868584486986,1.8867592293132245,2,Standar
-1.220028777725017,1.8225548030524443,2,Standar
3.4225903611829236,-3.009128750612218,1,Premium
-1.3972678154464795,1.5389005221571672,2,Standar
5.1086347570931485,-0.7043384408447408,1,Premium
5.114973856810659,-0.6235869172240256,1,Premium
-1.5505027166333687,1.720954254967876,2,Standar
-3.4081839404122025,-2.310679051390372,0,Ekonomis
-1.892480805587093,1.175079113473362,2,Standar
-1.7722362168370362,1.3841403881416974,2,Standar
-3.7195347500576283,-2.6603538534484428,0,Ekonomis
-3.592547889694183,-2.424938249540065,0,Ekonomis
-3.0947725028059154,-1.9323085315379867,0,Ekonomis
-3.093664170925292,-1.8667762586936363,0,Ekonomis
-3.1867422451167005,-1.9938323335378698,0,Ekonomis
-3.2030553085380573,-1.9836528231562338,0,Ekonomis
-1.3731185691963461,1.6628607944505762,2,Standar
-3.7695888859457156,-2.7008980827123645,0,Ekonomis
-1.5213165101040944,1.608804790515816,2,Standar
-1.5213165101040944,1.608804790515816,2,Standar
-1.5213165101040944,1.608804790515816,2,Standar
-1.5213165101040944,1.608804790515816,2,Standar
-1.5213165101040944,1.608804790515816,2,Standar
-1.7048272332099859,1.4998366877641858,2,Standar
-1.6950996321246294,1.5627953575760924,2,Standar
-3.4019371681232857,-2.4467604477387424,0,Ekonomis
-3.276021237547494,-2.2715247573044675,0,Ekonomis
-3.5593449384562157,-2.4696741783351994,0,Ekonomis
-3.17379392586245,-2.1844103479727237,0,Ekonomis
-1.17592633580166,1.9379994779165652,2,Standar
-1.2034453202963675,1.94945609958437,2,Standar
-1.030037797680758,2.1331584620765462,2,Standar
-1.1266258562615294,2.167516622211163,2,Standar
-0.9270591001770703,2.3096444014918736,2,Standar
-1.279151508026099,1.8718615273476735,2,Standar
-3.1433968032237427,-2.1606079859828213,0,Ekonomis
-3.6600715126201777,-2.5994074092618367,0,Ekonomis
-1.4290286966793417,1.621588812189332,2,Standar
-1.3248211109872143,2.0690680558296424,2,Standar
-3.2781047166164288,-2.344183523529036,0,Ekonomis
-3.2812306589294873,-2.310758868595522,0,Ekonomis
-3.308710237881428,-2.322761728357035,0,Ekonomis
